               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13214,             0.36158,            0.028526,            0.026235,           0.0039683,          0.00049844,          9.9688e-05,             0.13442,              0.1962,            0.027875,               8e-05,               8e-05,             0.09928
                   1,             0.13023,              0.3349,            0.027724,            0.019129,            0.051905,           0.0053556,          0.00090973,             0.13182,             0.19351,            0.027083,          0.00016998,          0.00016998,             0.09847
                   2,             0.12818,             0.33386,            0.026376,             0.03156,            0.019841,           0.0087391,           0.0020645,             0.12868,             0.19187,            0.025972,           0.0002599,           0.0002599,             0.09766
                   3,             0.12593,               0.324,            0.024947,            0.050818,            0.059524,            0.025559,           0.0048698,             0.12704,             0.18552,            0.025296,          0.00034969,          0.00034969,             0.09685
                   4,             0.12556,             0.30464,            0.023004,            0.076541,            0.055556,            0.023544,           0.0051369,             0.12576,             0.17892,            0.023541,          0.00043931,          0.00043931,            0.096039
                   5,             0.12239,             0.26843,            0.021721,             0.58165,            0.051587,            0.023555,           0.0051656,             0.12048,             0.17953,            0.021859,          0.00052869,          0.00052869,            0.095229
                   6,             0.11831,             0.28343,            0.019168,             0.55087,             0.09127,            0.029841,           0.0065318,             0.11324,             0.20409,            0.020363,           0.0006178,           0.0006178,            0.094418
                   7,             0.11184,             0.28281,            0.018133,             0.57975,            0.090368,             0.04157,           0.0080572,             0.10551,             0.21174,            0.019631,          0.00070657,          0.00070657,            0.093607
                   8,             0.10535,             0.29729,            0.017348,             0.12138,            0.099206,            0.057999,            0.012187,             0.09483,             0.25203,            0.019972,          0.00079496,          0.00079496,            0.092795
                   9,            0.099408,             0.32409,            0.015834,            0.090827,              0.1746,            0.065383,            0.013526,            0.090022,             0.26348,            0.020348,          0.00088291,          0.00088291,            0.091983
                  10,            0.092377,               0.317,            0.015146,             0.14475,             0.14286,             0.09365,            0.020674,            0.081836,              0.2812,            0.020657,          0.00097036,          0.00097036,             0.09117
                  11,            0.088205,             0.34825,             0.01505,             0.10571,             0.18651,            0.097127,            0.027402,            0.078475,             0.34175,            0.020171,           0.0010573,           0.0010573,            0.090357
                  12,            0.084745,             0.35992,            0.013934,             0.21442,             0.14683,             0.14006,             0.03588,            0.072335,              0.3106,            0.020443,           0.0011436,           0.0011436,            0.089544
                  13,            0.082155,             0.37382,            0.014101,             0.14839,             0.24603,             0.15411,            0.040549,            0.071417,             0.28291,            0.019146,           0.0012293,           0.0012293,            0.088729
                  14,            0.078671,             0.39269,            0.013364,             0.19925,             0.26553,             0.18579,            0.048422,            0.066752,             0.29297,             0.01935,           0.0013143,           0.0013143,            0.087914
                  15,            0.077872,             0.38293,             0.01369,             0.19653,             0.23016,             0.17535,            0.042373,            0.068576,             0.25464,             0.01916,           0.0013985,           0.0013985,            0.087099
                  16,            0.075613,             0.39051,            0.012803,             0.73689,             0.28968,             0.28079,            0.082329,            0.064408,             0.24733,            0.018403,            0.001482,            0.001482,            0.086282
                  17,            0.073727,             0.37396,             0.01332,             0.72354,             0.28175,              0.2187,            0.066378,            0.061828,             0.22954,            0.017517,           0.0015646,           0.0015646,            0.085465
                  18,            0.077551,             0.37366,            0.014631,             0.24456,             0.26984,             0.22312,            0.072157,            0.081764,             0.21008,            0.017159,           0.0016463,           0.0016463,            0.084646
                  19,             0.08156,             0.39989,            0.012105,             0.79632,             0.27381,             0.25975,            0.078778,            0.072026,              0.2626,             0.01691,           0.0017271,           0.0017271,            0.083827
                  20,             0.08357,             0.40154,             0.01223,             0.79695,                0.25,              0.2526,            0.064267,            0.070056,             0.24163,            0.018492,           0.0018069,           0.0018069,            0.083007
                  21,            0.080009,               0.421,            0.013022,             0.72813,             0.21032,             0.18894,            0.041619,            0.081106,             0.22487,            0.016786,           0.0018856,           0.0018856,            0.082186
                  22,            0.078364,             0.37624,             0.01167,             0.68853,              0.2381,             0.18123,            0.043492,             0.07332,             0.21474,            0.015482,           0.0019633,           0.0019633,            0.081363
                  23,            0.081514,             0.40886,            0.012267,             0.75898,             0.22222,             0.21522,            0.059186,             0.07606,              0.2358,             0.01554,           0.0020399,           0.0020399,             0.08054
                  24,             0.07646,             0.38746,            0.011678,             0.68418,             0.27778,             0.23939,            0.049118,            0.063128,             0.21789,            0.015392,           0.0021153,           0.0021153,            0.079715
                  25,            0.077164,             0.35407,            0.011862,             0.78701,             0.22993,             0.25267,            0.067882,            0.074654,             0.23494,            0.014908,           0.0021895,           0.0021895,             0.07889
                  26,            0.080833,              0.4835,            0.010473,             0.70421,             0.24206,             0.20255,            0.050099,            0.073429,             0.28212,            0.016496,           0.0022625,           0.0022625,            0.078062
                  27,            0.077107,             0.42962,            0.011182,             0.65612,             0.22619,             0.14805,            0.044944,            0.074912,             0.22186,            0.014218,           0.0023342,           0.0023342,            0.077234
                  28,            0.073494,             0.42291,            0.011337,             0.76403,             0.32937,             0.27224,            0.074699,            0.061733,             0.22179,            0.015065,           0.0024045,           0.0024045,            0.076405
                  29,            0.071109,             0.38341,            0.010043,             0.72771,             0.30952,             0.23426,            0.074097,            0.070843,             0.24035,            0.016411,           0.0024735,           0.0024735,            0.075574
